ID,Description,Category,Duration,Download Link
07047037,"Applause, crowd of 50 people.",Uncategorized,10660,https://sound-effects-media.bbcrewind.co.uk/zip/07047037.wav.zip?download&rename=BBC_Applause__crowd_of_50_people__07047037
07064064,"Applause from 50 people - 1966 (63A,reprocessed)",Uncategorized,18733.333,https://sound-effects-media.bbcrewind.co.uk/zip/07064064.wav.zip?download&rename=BBC_Applause_from_50_people___1966_07064064
07064062,"Applause from 50 people - 1966 (63A,reprocessed)",Uncategorized,15306.667,https://sound-effects-media.bbcrewind.co.uk/zip/07064062.wav.zip?download&rename=BBC_Applause_from_50_people___1966_07064062
07047038,"Applause, crowd of 50 people.",Uncategorized,10843.515,https://sound-effects-media.bbcrewind.co.uk/zip/07047038.wav.zip?download&rename=BBC_Applause__crowd_of_50_people__07047038
07047043,"Applause at concert, audience of 50 people.",Uncategorized,13600,https://sound-effects-media.bbcrewind.co.uk/zip/07047043.wav.zip?download&rename=BBC_Applause_at_concert__audience__07047043
07028114,"Swimming: Indoor circuit training, about 50 people",Uncategorized,207738.413,https://sound-effects-media.bbcrewind.co.uk/zip/07028114.wav.zip?download&rename=BBC_Swimming__Indoor_circuit_train_07028114
07018023,50 men and women cheering. (Farcical.),Uncategorized,13540,https://sound-effects-media.bbcrewind.co.uk/zip/07018023.wav.zip?download&rename=BBC_50_men_and_women_cheering___Fa_07018023
07026032,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior, approach, stop.",Uncategorized,32361.406000000003,https://sound-effects-media.bbcrewind.co.uk/zip/07026032.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026032
07026035,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior, pass.",Uncategorized,30198.073,https://sound-effects-media.bbcrewind.co.uk/zip/07026035.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026035
07026037,"Cabin Cruiser: 27ft, 50 hp. diesel engine, interior, reverse.",Uncategorized,42878.729999999996,https://sound-effects-media.bbcrewind.co.uk/zip/07026037.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026037
07026036,"Cabin Cruiser: 27ft, 50 hp. diesel engine, interior, tickover.",Uncategorized,63766.689,https://sound-effects-media.bbcrewind.co.uk/zip/07026036.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026036
07026034,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior, pass.",Uncategorized,43746.485,https://sound-effects-media.bbcrewind.co.uk/zip/07026034.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026034
07032163,"Ford Zephyr, exterior, passes at 50 m.p.h. (1968 model.)",Uncategorized,27000,https://sound-effects-media.bbcrewind.co.uk/zip/07032163.wav.zip?download&rename=BBC_Ford_Zephyr__exterior__passes__07032163
07018014,"Meeting with 50 men, rise & disperse after meeting.",Uncategorized,418385.44200000004,https://sound-effects-media.bbcrewind.co.uk/zip/07018014.wav.zip?download&rename=BBC_Meeting_with_50_men__rise___di_07018014
07059104,Hot water stream - fast flowing at 50 degrees.,Uncategorized,199933.333,https://sound-effects-media.bbcrewind.co.uk/zip/07059104.wav.zip?download&rename=BBC_Hot_water_stream___fast_flowin_07059104
NHU05056095,"Song. Geese flight off quietly at 50"".",Uncategorized,79522.721,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05056095.wav.zip?download&rename=BBC_Song__Geese_flight_off_quietly_NHU05056095
07064063,"Applause from 50 people - 1966 (63A,reprocessed)",Uncategorized,15826.667000000001,https://sound-effects-media.bbcrewind.co.uk/zip/07064063.wav.zip?download&rename=BBC_Applause_from_50_people___1966_07064063
07064061,"Applause from 50 people - 1966 (63A,reprocessed)",Uncategorized,18626.667,https://sound-effects-media.bbcrewind.co.uk/zip/07064061.wav.zip?download&rename=BBC_Applause_from_50_people___1966_07064061
07041080,"Single-Cylinder Engine operating. (1932, 50 h.p.)",Uncategorized,183552.74399999998,https://sound-effects-media.bbcrewind.co.uk/zip/07041080.wav.zip?download&rename=BBC_Single_Cylinder_Engine_operati_07041080
07047044,"Applause at concert, audience of 50 people.",Uncategorized,25760,https://sound-effects-media.bbcrewind.co.uk/zip/07047044.wav.zip?download&rename=BBC_Applause_at_concert__audience__07047044
NHU05066097,Contact calls of 50 plus. NB: Exact date of recording not known.,Uncategorized,187715.283,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05066097.wav.zip?download&rename=BBC_Contact_calls_of_50_plus__NB___NHU05066097
07026040,"Cabin Cruiser: 27ft, 50 hp. diesel engine, bow wave, at full speed.",Uncategorized,182781.81399999998,https://sound-effects-media.bbcrewind.co.uk/zip/07026040.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026040
NHU05058129,CU calls from a small flock of about 50 birds.,Uncategorized,157699.683,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05058129.wav.zip?download&rename=BBC_CU_calls_from_a_small_flock_of_NHU05058129
