ID,Description,Category,Duration,Download Link
NHU05087008,"Several feeding on mud flats just exposed by ebb-tide; eiders, black-headed and lesser black-backed gulls in b/g",Uncategorized,131250.975,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087008.wav.zip?download&rename=BBC_Several_feeding_on_mud_flats_j_NHU05087008
NHU05087009,LATE SPRING/SUMMER With skylark and common sandpiper NB: Bird calls added,Uncategorized,246455.873,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087009.wav.zip?download&rename=BBC_LATE_SPRING_SUMMER_With_skylar_NHU05087009
NHU05087013,"EARLY-LATE SPRING With blackcocks at the lek, skylark and distant sheep",Uncategorized,279096.59900000005,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087013.wav.zip?download&rename=BBC_EARLY_LATE_SPRING_With_blackco_NHU05087013
NHU05087024,"Take-off and flight calls cu from a group of 15 birds, landing and feeding.",Uncategorized,167718.685,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087024.wav.zip?download&rename=BBC_Take_off_and_flight_calls_cu_f_NHU05087024
NHU05087032,Song,Uncategorized,26983.515,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087032.wav.zip?download&rename=BBC_Song_NHU05087032
NHU05087042,Adults calling cu. Nestlings calling mcu. Surf in distance.,Uncategorized,430924.444,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087042.wav.zip?download&rename=BBC_Adults_calling_cu__Nestlings_c_NHU05087042
NHU05087046,"Calls cu from chick, seawash on rocks mcu.",Uncategorized,82280.159,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087046.wav.zip?download&rename=BBC_Calls_cu_from_chick__seawash_o_NHU05087046
NHU05087048,"Threat calls cu from adult & chick, becoming more intense, seawash on rocks mcu.",Uncategorized,280758.005,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087048.wav.zip?download&rename=BBC_Threat_calls_cu_from_adult___c_NHU05087048
NHU05087049,Male hissing (in threat),Uncategorized,38019.818999999996,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087049.wav.zip?download&rename=BBC_Male_hissing__in_threat__NHU05087049
NHU05087058,Calls mcu during copulation display with wing-flaps & splashes.,Uncategorized,34233.878,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087058.wav.zip?download&rename=BBC_Calls_mcu_during_copulation_di_NHU05087058
NHU05087065,Cu and mcu anxiety calls from two birds. Other gulls in distance.,Uncategorized,41464.943,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087065.wav.zip?download&rename=BBC_Cu_and_mcu_anxiety_calls_from__NHU05087065
NHU05087070,Atmosphere on breeding beach American oystercatcher in b/g,Uncategorized,349439.184,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087070.wav.zip?download&rename=BBC_Atmosphere_on_breeding_beach_A_NHU05087070
NHU05087071,"Bull - threat. Snorts, belching and breathing",Uncategorized,140986.803,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087071.wav.zip?download&rename=BBC_Bull___threat__Snorts__belchin_NHU05087071
NHU05087078,"Chaffinches, greenfinches, yellow wagtails, meadow pipits sea background",Uncategorized,129644.44399999999,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087078.wav.zip?download&rename=BBC_Chaffinches__greenfinches__yel_NHU05087078
NHU05087080,"Serins, meadow pipits, greenfinches, linnets, goldfinches, white and yellow wagtails distant sea",Uncategorized,207155.011,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087080.wav.zip?download&rename=BBC_Serins__meadow_pipits__greenfi_NHU05087080
NHU05087088,Calls second bird in b/g,Uncategorized,177783.946,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087088.wav.zip?download&rename=BBC_Calls_second_bird_in_b_g_NHU05087088
NHU05087095,Cries with cicadas,Uncategorized,164150.295,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087095.wav.zip?download&rename=BBC_Cries_with_cicadas_NHU05087095
NHU05087099,Anxiety and alarm calls of adults with nestlings with anxiety calls of tree pipit and stream in b/g,Uncategorized,229781.13400000002,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087099.wav.zip?download&rename=BBC_Anxiety_and_alarm_calls_of_adu_NHU05087099
NHU05087100,Hunger calls of newly fledged young plus anxiety calls of adults with distant tree pipit song and swift flowing stream,Uncategorized,225029.50100000002,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087100.wav.zip?download&rename=BBC_Hunger_calls_of_newly_fledged__NHU05087100
NHU05087101,Calls of adults feeding fledglings with swift-flowing stream,Uncategorized,410674.104,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087101.wav.zip?download&rename=BBC_Calls_of_adults_feeding_fledgl_NHU05087101
NHU05087116,Alarm call,Uncategorized,31625.488,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087116.wav.zip?download&rename=BBC_Alarm_call_NHU05087116
NHU05087125,"Cu single calls from a close bird, other calling in flight in background. Some md wind.",Uncategorized,86332.971,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087125.wav.zip?download&rename=BBC_Cu_single_calls_from_a_close_b_NHU05087125
NHU05087134,Display calls mcu from four birds. Distant gulls and a tractor.,Uncategorized,228289.048,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087134.wav.zip?download&rename=BBC_Display_calls_mcu_from_four_bi_NHU05087134
NHU05087137,Single bird calling in flight with green woodpecker,Uncategorized,38024.535,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087137.wav.zip?download&rename=BBC_Single_bird_calling_in_flight__NHU05087137
NHU05087139,Calls in rookery,Uncategorized,498682.40400000004,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087139.wav.zip?download&rename=BBC_Calls_in_rookery_NHU05087139
NHU05087145,With creaking bamboo,Uncategorized,133515.601,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087145.wav.zip?download&rename=BBC_With_creaking_bamboo_NHU05087145
NHU05087147,With reed warblers and turtle doves,Uncategorized,168848.934,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087147.wav.zip?download&rename=BBC_With_reed_warblers_and_turtle__NHU05087147
NHU05087153,With robin,Uncategorized,227034.51200000002,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05087153.wav.zip?download&rename=BBC_With_robin_NHU05087153
NHU05088002,CU calls out of water. Echo from room.,Uncategorized,24480,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088002.wav.zip?download&rename=BBC_CU_calls_out_of_water__Echo_fr_NHU05088002
NHU05088006,Spring song,Uncategorized,50593.333,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088006.wav.zip?download&rename=BBC_Spring_song_NHU05088006
NHU05088051,Adult sniffing and grunting,Uncategorized,22990,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088051.wav.zip?download&rename=BBC_Adult_sniffing_and_grunting_NHU05088051
NHU05088056,Queen in flight.,Uncategorized,33230,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088056.wav.zip?download&rename=BBC_Queen_in_flight__NHU05088056
NHU05088060,Mcu alarm calls. Mcu flight alarm call at end of recording. Skylarks and sheep in distance.,Uncategorized,44280,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088060.wav.zip?download&rename=BBC_Mcu_alarm_calls__Mcu_flight_al_NHU05088060
NHU05088063,"Mcu song. Woodland atmosphere in background with pheasant, chaffinches, wood pigeons, blue tits and wren.",Uncategorized,121620,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088063.wav.zip?download&rename=BBC_Mcu_song__Woodland_atmosphere__NHU05088063
NHU05088066,Cu song. Other birds in distance.,Uncategorized,176751.837,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088066.wav.zip?download&rename=BBC_Cu_song__Other_birds_in_distan_NHU05088066
NHU05088068,Call note,Uncategorized,93276.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088068.wav.zip?download&rename=BBC_Call_note_NHU05088068
NHU05088072,Wing beats,Uncategorized,21040,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088072.wav.zip?download&rename=BBC_Wing_beats_NHU05088072
NHU05088103,Snorts,Uncategorized,33761.088,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088103.wav.zip?download&rename=BBC_Snorts_NHU05088103
NHU05088106,Calls.,Uncategorized,114178.322,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088106.wav.zip?download&rename=BBC_Calls__NHU05088106
NHU05088116,"SPRING With sandhill cranes, trumpeter swans, ducks, killdeer plover, red-winged blackbirds",Uncategorized,256199.184,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088116.wav.zip?download&rename=BBC_SPRING_With_sandhill_cranes__t_NHU05088116
NHU05088121,Song,Uncategorized,129740.00000000001,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088121.wav.zip?download&rename=BBC_Song_NHU05088121
NHU05088126,"LATE SPRING: EARLY MORNING With oystercatchers, herring and lesser black-backed gulls, pied wagtail, house sparrows and starlings",Uncategorized,434590.794,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05088126.wav.zip?download&rename=BBC_LATE_SPRING__EARLY_MORNING_Wit_NHU05088126
NHU05036091,Md calls from crimson backed woodpecker. Flight sounds of great Indian hornbill. Also calls of other bird species. B/g hiss/noise of insects.,Uncategorized,136956.281,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05036091.wav.zip?download&rename=BBC_Md_calls_from_crimson_backed_w_NHU05036091
NHU05036093,"Langur alarm calls, often with snarling/barking quality. Alternates with higher pitched alarm calls of Indian giant squirrel. Periods of neutral atmosphere with b/g birds, frogs & insects.",Uncategorized,157572.517,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05036093.wav.zip?download&rename=BBC_Langur_alarm_calls__often_with_NHU05036093
NHU05036094,Cu calls. Birds in distance. Voices near end of recording.,Uncategorized,114277.075,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05036094.wav.zip?download&rename=BBC_Cu_calls__Birds_in_distance__V_NHU05036094
NHU05037003,Distant - cu calls from two birds. Calls from blue tit and house sparrow. Wind gusting in trees. Distant traffic. Distant garden atmos.,Uncategorized,62932.018,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037003.wav.zip?download&rename=BBC_Distant___cu_calls_from_two_bi_NHU05037003
NHU05037006,Mcu alarm calls from a single bird. Birds tapping at feeder at start of recording. Wind gusting in trees. Garden atmos in background.,Uncategorized,164819.138,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037006.wav.zip?download&rename=BBC_Mcu_alarm_calls_from_a_single__NHU05037006
NHU05037010,Mcu sound of birds climbing trees to take-off. Good climbing sequence at end of recording. Other birds calling in background. Surf in distance. Slight breeze in trees at times.,Uncategorized,285914.195,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037010.wav.zip?download&rename=BBC_Mcu_sound_of_birds_climbing_tr_NHU05037010
NHU05037013,Cu calls from a single bird. Surf in background.,Uncategorized,39223.379,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037013.wav.zip?download&rename=BBC_Cu_calls_from_a_single_bird__S_NHU05037013
NHU05037014,Cu calls from several at start and then from a pair. Surf in background.,Uncategorized,177048.07299999997,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037014.wav.zip?download&rename=BBC_Cu_calls_from_several_at_start_NHU05037014
NHU05037022,"Cu sound of feet stamping from an annoyed squirrel. Blackbird, song thrush and other birds in background.",Uncategorized,29211.519,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037022.wav.zip?download&rename=BBC_Cu_sound_of_feet_stamping_from_NHU05037022
NHU05037023,Cu calls. Skylark and other birds in background. Slight hum.,Uncategorized,64636.009,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037023.wav.zip?download&rename=BBC_Cu_calls__Skylark_and_other_bi_NHU05037023
NHU05037026,Cu adult feeding young; calls and wingbeats.,Uncategorized,26804.195,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037026.wav.zip?download&rename=BBC_Cu_adult_feeding_young__calls__NHU05037026
NHU05037038,"Flight alarm calls cu from several birds. Skylarks, arctic skuas and sheep in distance. Windy background.",Uncategorized,68764.376,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037038.wav.zip?download&rename=BBC_Flight_alarm_calls_cu_from_sev_NHU05037038
NHU05037061,Early morning. Many birds singing. Cicadas and other insects.,Uncategorized,338242.902,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037061.wav.zip?download&rename=BBC_Early_morning__Many_birds_sing_NHU05037061
NHU05037070,"CU alarm calls, others in b/g, other species in distance.",Uncategorized,67365.442,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037070.wav.zip?download&rename=BBC_CU_alarm_calls__others_in_b_g__NHU05037070
NHU05037075,Calls mcu - distant from several birds over sea. Seawash and waves breaking on shore cu.,Uncategorized,110402.902,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037075.wav.zip?download&rename=BBC_Calls_mcu___distant_from_sever_NHU05037075
NHU05037100,Cu calls from a single bird. Waterfall in distance.,Uncategorized,12304.399,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037100.wav.zip?download&rename=BBC_Cu_calls_from_a_single_bird__W_NHU05037100
NHU05037107,"Mid-morning at about 1000ft. Party of whiteheads calling in trees. Distant bellbirds, long-tailed cuckoo and grey warbler. Flies and cicadas.",Uncategorized,164174.626,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037107.wav.zip?download&rename=BBC_Mid_morning_at_about_1000ft__P_NHU05037107
NHU05037121,Cu song. Calls from other greenfinches at end of recording. Jackdaws in background. Slight wind in trees.,Uncategorized,45765.215,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037121.wav.zip?download&rename=BBC_Cu_song__Calls_from_other_gree_NHU05037121
NHU05037122,Cu predator alarm calls. Others in background. Distant jackdaws. Wind in trees.,Uncategorized,32245.556,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037122.wav.zip?download&rename=BBC_Cu_predator_alarm_calls__Other_NHU05037122
NHU05037132,"Dawn. Calls from barking pigeons at start of recording. Golden whistler chorus, calls from red-breasted musk parrot & other birds in distance. Cicada chorus. Water dripping on leaves.",Uncategorized,311077.05199999997,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05037132.wav.zip?download&rename=BBC_Dawn__Calls_from_barking_pigeo_NHU05037132
NHU05038004,MC song. Other birds in foreground and b/g. Tropical Boubous prominent near end.,Uncategorized,103880,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05038004.wav.zip?download&rename=BBC_MC_song__Other_birds_in_foregr_NHU05038004
NHU05038005,"CU song, White Headed Buffalo, Weavers call, frog chorus in b/g.",Uncategorized,24520,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05038005.wav.zip?download&rename=BBC_CU_song__White_Headed_Buffalo__NHU05038005
NHU05038006,"CU song with another replying in b/g, Doves, Yellow necked Spurfowl & other birds in distance, insects & distant frogs in pools from overnight rain.",Uncategorized,192240,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05038006.wav.zip?download&rename=BBC_CU_song_with_another_replying__NHU05038006
NHU05038009,"CU song with another in b/g, Woodpecker, White Browed Sparrow Weavers, doves and crickets in b/g.",Uncategorized,95200,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05038009.wav.zip?download&rename=BBC_CU_song_with_another_in_b_g__W_NHU05038009
NHU05038012,"Mcu braying, others in distance; larks and other birds in background.",Uncategorized,33946.667,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05038012.wav.zip?download&rename=BBC_Mcu_braying__others_in_distanc_NHU05038012
NHU05028237,Chattering calls from individual with other babblers in b/g. Also calls from other species in b/g. Some sounds of winds in trees.,Uncategorized,110106.848,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05028237.wav.zip?download&rename=BBC_Chattering_calls_from_individu_NHU05028237
NHU05028238,"Cu chattering calls with occasional wing-beats & other babblers in b/g. Also other species in b/g, including parakeets. Distant peacock & woodpecker. Some sounds of wind in trees.",Uncategorized,246401.633,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05028238.wav.zip?download&rename=BBC_Cu_chattering_calls_with_occas_NHU05028238
